#              ************************************
#              *****    GLOBAL ATTRIBUTES    ******
#              ************************************
#
#     DISCIPLINE                      Space Physics>Magnetospheric Science
#     PROJECT                         STP>Solar-Terrestrial Physics
#     DATA_TYPE                       srvy_l2_epht89d
#     DESCRIPTOR                      MEC>Magnetic Ephemeris and Coordinates
#     TEXT                            MMS MEC Magnetic ephemeris and coordinates, Level 2 science data. PI institution                      
#                                      is Los Alamos National Laboratory (LANL)                                                              
#     LOGICAL_SOURCE                  mms4_mec_srvy_l2_epht89d
#     SOURCE_NAME                     MMS4>MMS Satellite Number 4
#     LOGICAL_SOURCE_DESCRIPTION      Magnetic ephemeris and support data for MMS satellite number 4
#     INTL_DESIG                      2015-011D
#     NORAD_CAT_ID                    40485
#                                     /mms/l2_eph_att_burst/mms4/2018/mms4_mec_brst_l2_epht89d_20181129232835_v2.2.0.cdf                    
#     FILE_NAMING_CONVENTION          source_descriptor_datatype_yyyyMMdd
#     DATA_VERSION                    1.0.0
#     SOFTWARE_VERSION                1.1.0
#     COMMAND_LINE                    /mms/MMScode/MmsEphemFromFdoa -S 2018-11-29T23:28:35 -E 2018-11-29T23:31:05                           
#                                      -b MMS4 -e T89D -d 30 -v 0 /mms/fdoa_eph_att/defeph/%b/%YYYY/%B_DEFEPH_%YYYY%MM%DD.%V                 
#                                      /mms/fdoa_eph_att/defatt/%b/%YYYY/%B_DEFATT_%YYYY%MM%DD.%V /mms/l2_eph_att_burst/%b/%YYYY/%b_mec_brst_
#     PI_NAME                         M. G. Henderson, S. K. Morley
#     PI_AFFILIATION                  Los Alamos National Laboratory (LANL)
#     INSTRUMENT_TYPE                 Ephemeris/Attitude/Ancillary
#     MISSION_GROUP                   MMS
#     TIME_RESOLUTION                 30 ms
#     GENERATED_BY                    M. G. Henderson and S. K. Morley, Los Alamos National Laboratory
#     GENERATION_DATE                 20190217
#     GENERATION_DATETIME             2019-02-17T09:58:46Z
#     LINK_TEXT                       MMS homepage
#                                     Science Data Center
#     LINK_TITLE                      At GSFC
#                                     LASP SDC
#     HTTP_LINK                       http://mms.gsfc.nasa.gov/
#                                     http://lasp.colorado.edu/mms/sdc/
#                                     spase://NASA/NumericalData/MMS/4/Ephemeris/Burst/Level2/Tsyganenko_89_Disturbed/PT0.030S              
#     CDAWEB_PARENTS                  mms4_mec_brst_l2_epht89d_00000000_v01
#                                     mms4_mec_brst_l2_epht89d_20161209085855_v2.2.0, mms4_mec_brst_l2_epht89d_20161209090055_v2.2.0
#                                     mms4_mec_brst_l2_epht89d_20161209090305_v2.2.0
#     CDFMAJOR                        COL_MAJOR
#
#              ************************************
#              ****  RECORD VARYING VARIABLES  ****
#              ************************************
#
#  1. Nanoseconds from J2000.0 with leap seconds included.
#  2. Geocentric Geographic (GEO) position vector of mms4 (km)
#  3. Velocity of mms4 spacecraft in GEO coordinates (km/s)
#
EPOCH                                      MMS4_R_GEO_X                MMS4_R_GEO_Y                MMS4_R_GEO_Z                MMS4_V_GEO_X                MMS4_V_GEO_Y                MMS4_V_GEO_Z
dd-mm-yyyy hh:mm:ss.mil.mic                          km                          km                          km                        km/s                        km/s                        km/s
09-12-2016 09:00:00.010.000                     35838.0                     58938.3                    -27910.0                   -0.515428                    0.982369                    0.123840
09-12-2016 09:00:00.040.000                     35838.1                     58938.2                    -27910.0                   -0.515427                    0.982368                    0.123841
09-12-2016 09:00:00.070.000                     35838.2                     58938.2                    -27910.0                   -0.515426                    0.982368                    0.123842
09-12-2016 09:00:00.100.000                     35838.3                     58938.1                    -27910.0                   -0.515425                    0.982367                    0.123842
09-12-2016 09:00:00.130.000                     35838.4                     58938.1                    -27910.0                   -0.515423                    0.982367                    0.123843
09-12-2016 09:00:00.160.000                     35838.5                     58938.0                    -27910.0                   -0.515422                    0.982366                    0.123844
09-12-2016 09:00:00.190.000                     35838.7                     58938.0                    -27910.0                   -0.515421                    0.982365                    0.123845
09-12-2016 09:00:00.220.000                     35838.8                     58937.9                    -27910.0                   -0.515420                    0.982365                    0.123846
09-12-2016 09:00:00.250.000                     35838.9                     58937.9                    -27910.0                   -0.515419                    0.982364                    0.123846
09-12-2016 09:00:00.280.000                     35839.0                     58937.9                    -27910.0                   -0.515418                    0.982364                    0.123847
09-12-2016 09:00:00.310.000                     35839.1                     58937.8                    -27910.0                   -0.515417                    0.982363                    0.123848
09-12-2016 09:00:00.340.000                     35839.2                     58937.8                    -27910.0                   -0.515416                    0.982363                    0.123849
09-12-2016 09:00:00.370.000                     35839.3                     58937.7                    -27910.0                   -0.515415                    0.982362                    0.123850
09-12-2016 09:00:00.400.000                     35839.5                     58937.7                    -27910.0                   -0.515413                    0.982361                    0.123850
09-12-2016 09:00:00.430.000                     35839.6                     58937.6                    -27910.0                   -0.515412                    0.982361                    0.123851
09-12-2016 09:00:00.460.000                     35839.7                     58937.6                    -27910.0                   -0.515411                    0.982360                    0.123852
09-12-2016 09:00:00.490.000                     35839.8                     58937.5                    -27910.0                   -0.515410                    0.982360                    0.123853
09-12-2016 09:00:00.520.000                     35839.9                     58937.5                    -27910.0                   -0.515409                    0.982359                    0.123854
09-12-2016 09:00:00.550.000                     35840.0                     58937.4                    -27910.0                   -0.515408                    0.982358                    0.123854
09-12-2016 09:00:00.580.000                     35840.1                     58937.4                    -27910.0                   -0.515407                    0.982358                    0.123855
09-12-2016 09:00:00.610.000                     35840.2                     58937.3                    -27910.0                   -0.515406                    0.982357                    0.123856
09-12-2016 09:00:00.640.000                     35840.4                     58937.3                    -27910.0                   -0.515405                    0.982357                    0.123857
09-12-2016 09:00:00.670.000                     35840.5                     58937.2                    -27910.0                   -0.515403                    0.982356                    0.123858
09-12-2016 09:00:00.700.000                     35840.6                     58937.2                    -27910.0                   -0.515402                    0.982356                    0.123859
09-12-2016 09:00:00.730.000                     35840.7                     58937.1                    -27910.0                   -0.515401                    0.982355                    0.123859
09-12-2016 09:00:00.760.000                     35840.8                     58937.1                    -27910.0                   -0.515400                    0.982354                    0.123860
